Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
24.11.2018;2018;11;6;Суббота;47;Выходной_С
25.11.2018;2018;11;7;Воскресенье;47;Выходной_В
26.11.2018;2018;11;1;Понедельник;48;Рабочий
27.11.2018;2018;11;2;Вторник;48;Рабочий
28.11.2018;2018;11;3;Среда;48;Рабочий
29.11.2018;2018;11;4;Четверг;48;Рабочий
30.11.2018;2018;11;5;Пятница;48;Пятница
01.12.2018;2018;12;6;Суббота;48;Выходной_С
02.12.2018;2018;12;7;Воскресенье;48;Выходной_В
03.12.2018;2018;12;1;Понедельник;49;Рабочий
04.12.2018;2018;12;2;Вторник;49;Рабочий
05.12.2018;2018;12;3;Среда;49;Рабочий
06.12.2018;2018;12;4;Четверг;49;Рабочий
07.12.2018;2018;12;5;Пятница;49;Пятница
08.12.2018;2018;12;6;Суббота;49;Выходной_С
09.12.2018;2018;12;7;Воскресенье;49;Выходной_В
10.12.2018;2018;12;1;Понедельник;50;Рабочий
11.12.2018;2018;12;2;Вторник;50;Рабочий
12.12.2018;2018;12;3;Среда;50;Рабочий
13.12.2018;2018;12;4;Четверг;50;Рабочий
14.12.2018;2018;12;5;Пятница;50;Пятница
15.12.2018;2018;12;6;Суббота;50;Выходной_С
16.12.2018;2018;12;7;Воскресенье;50;Выходной_В
17.12.2018;2018;12;1;Понедельник;51;Рабочий
18.12.2018;2018;12;2;Вторник;51;Рабочий
19.12.2018;2018;12;3;Среда;51;Рабочий
20.12.2018;2018;12;4;Четверг;51;Рабочий
21.12.2018;2018;12;5;Пятница;51;Пятница
22.12.2018;2018;12;6;Суббота;51;Выходной_С
23.12.2018;2018;12;7;Воскресенье;51;Выходной_В
24.12.2018;2018;12;1;Понедельник;52;Рабочий
25.12.2018;2018;12;2;Вторник;52;Рабочий
26.12.2018;2018;12;3;Среда;52;Рабочий
27.12.2018;2018;12;4;Четверг;52;Рабочий
28.12.2018;2018;12;5;Пятница;52;Рабочий
29.12.2018;2018;12;6;Суббота;52;Пятница
30.12.2018;2018;12;7;Воскресенье;52;Выходной_С
31.12.2018;2018;12;1;Понедельник;53;Выходной_В
01.01.2019;2019;1;2;Вторник;1;Рабочий
02.01.2019;2019;1;3;Среда;1;Рабочий
03.01.2019;2019;1;4;Четверг;1;Рабочий
04.01.2019;2019;1;5;Пятница;1;Пятница
05.01.2019;2019;1;6;Суббота;1;Выходной_С
06.01.2019;2019;1;7;Воскресенье;1;Выходной_В
07.01.2019;2019;1;1;Понедельник;2;Рабочий
08.01.2019;2019;1;2;Вторник;2;Рабочий
09.01.2019;2019;1;3;Среда;2;Рабочий
10.01.2019;2019;1;4;Четверг;2;Рабочий
11.01.2019;2019;1;5;Пятница;2;Пятница
12.01.2019;2019;1;6;Суббота;2;Выходной_С
13.01.2019;2019;1;7;Воскресенье;2;Выходной_В
14.01.2019;2019;1;1;Понедельник;3;Рабочий
15.01.2019;2019;1;2;Вторник;3;Рабочий
16.01.2019;2019;1;3;Среда;3;Рабочий
17.01.2019;2019;1;4;Четверг;3;Рабочий
18.01.2019;2019;1;5;Пятница;3;Пятница
19.01.2019;2019;1;6;Суббота;3;Выходной_С
20.01.2019;2019;1;7;Воскресенье;3;Выходной_В
21.01.2019;2019;1;1;Понедельник;4;Рабочий
22.01.2019;2019;1;2;Вторник;4;Рабочий
23.01.2019;2019;1;3;Среда;4;Рабочий
24.01.2019;2019;1;4;Четверг;4;Рабочий
25.01.2019;2019;1;5;Пятница;4;Пятница
26.01.2019;2019;1;6;Суббота;4;Выходной_С
27.01.2019;2019;1;7;Воскресенье;4;Выходной_В
28.01.2019;2019;1;1;Понедельник;5;Рабочий
29.01.2019;2019;1;2;Вторник;5;Рабочий
30.01.2019;2019;1;3;Среда;5;Рабочий
31.01.2019;2019;1;4;Четверг;5;Рабочий
01.02.2019;2019;2;5;Пятница;5;Пятница
02.02.2019;2019;2;6;Суббота;5;Выходной_С
03.02.2019;2019;2;7;Воскресенье;5;Выходной_В
04.02.2019;2019;2;1;Понедельник;6;Рабочий
05.02.2019;2019;2;2;Вторник;6;Рабочий
06.02.2019;2019;2;3;Среда;6;Рабочий
07.02.2019;2019;2;4;Четверг;6;Рабочий
08.02.2019;2019;2;5;Пятница;6;Пятница
09.02.2019;2019;2;6;Суббота;6;Выходной_С
10.02.2019;2019;2;7;Воскресенье;6;Выходной_В
11.02.2019;2019;2;1;Понедельник;7;Рабочий
12.02.2019;2019;2;2;Вторник;7;Рабочий
13.02.2019;2019;2;3;Среда;7;Рабочий
14.02.2019;2019;2;4;Четверг;7;Рабочий
15.02.2019;2019;2;5;Пятница;7;Пятница
16.02.2019;2019;2;6;Суббота;7;Выходной_С
17.02.2019;2019;2;7;Воскресенье;7;Выходной_В
18.02.2019;2019;2;1;Понедельник;8;Рабочий
19.02.2019;2019;2;2;Вторник;8;Рабочий
20.02.2019;2019;2;3;Среда;8;Рабочий
21.02.2019;2019;2;4;Четверг;8;Рабочий
22.02.2019;2019;2;5;Пятница;8;Пятница
23.02.2019;2019;2;6;Суббота;8;Выходной_С
24.02.2019;2019;2;7;Воскресенье;8;Выходной_В
25.02.2019;2019;2;1;Понедельник;9;Рабочий
26.02.2019;2019;2;2;Вторник;9;Рабочий
27.02.2019;2019;2;3;Среда;9;Рабочий
28.02.2019;2019;2;4;Четверг;9;Рабочий
01.03.2019;2019;3;5;Пятница;9;Пятница
02.03.2019;2019;3;6;Суббота;9;Выходной_С
03.03.2019;2019;3;7;Воскресенье;9;Выходной_В
04.03.2019;2019;3;1;Понедельник;10;Рабочий
05.03.2019;2019;3;2;Вторник;10;Рабочий
06.03.2019;2019;3;3;Среда;10;Рабочий
07.03.2019;2019;3;4;Четверг;10;Пятница
08.03.2019;2019;3;5;Пятница;10;Выходной_С
09.03.2019;2019;3;6;Суббота;10;Выходной_С
10.03.2019;2019;3;7;Воскресенье;10;Выходной_В
11.03.2019;2019;3;1;Понедельник;11;Рабочий
12.03.2019;2019;3;2;Вторник;11;Рабочий
13.03.2019;2019;3;3;Среда;11;Рабочий
14.03.2019;2019;3;4;Четверг;11;Рабочий
15.03.2019;2019;3;5;Пятница;11;Пятница
